data;estado;value;treated
2011-01-01;acre;   49509;0
2011-01-01;alagoas;  205950;0
2011-01-01;amapa;   42548;0
2011-01-01;amazonas;  469235;0
2011-01-01;bahia; 1077809;0
2011-01-01;ceara;  569613;0
2011-01-01;df;  442474;0
2011-01-01;es;  683838;0
2011-01-01;goias;  832029;0
2011-01-01;maranhao;  279147;0
2011-01-01;mt;  454904;0
2011-01-01;ms;  422774;0
2011-01-01;mg; 2356876;0
2011-01-01;para;  475572;0
2011-01-01;pb;  250930;0
2011-01-01;parana; 1291415;0
2011-01-01;pe;  865272;0
2011-01-01;piaui;  180784;0
2011-01-01;rj; 2214239;0
2011-01-01;rn;  241446;0
2011-01-01;rs; 1664506;0
2011-01-01;rondonia;  227274;0
2011-01-01;rr;   34988;0
2011-01-01;sc; 1014916;0
2011-01-01;sp; 7821823;0
2011-01-01;sergipe;  184712;0
2011-01-01;tocantins;  105958;0
2011-02-01;acre;   55925;0
2011-02-01;alagoas;  195555;0
2011-02-01;amapa;   37410;0
2011-02-01;amazonas;  452890;0
2011-02-01;bahia; 1004337;0
2011-02-01;ceara;  503253;0
2011-02-01;df;  374879;0
2011-02-01;es;  650773;0
2011-02-01;goias;  826922;0
2011-02-01;maranhao;  250500;0
2011-02-01;mt;  368294;0
2011-02-01;ms;  383334;0
2011-02-01;mg; 2133220;0
2011-02-01;para;  442085;0
2011-02-01;pb;  238269;0
2011-02-01;parana; 1112139;0
2011-02-01;pe;  830231;0
2011-02-01;piaui;  176710;0
2011-02-01;rj; 1894126;0
2011-02-01;rn;  243854;0
2011-02-01;rs; 1434280;0
2011-02-01;rondonia;  182429;0
2011-02-01;rr;   32139;0
2011-02-01;sc;  906199;0
2011-02-01;sp;13478594;0
2011-02-01;sergipe;  154484;0
2011-02-01;tocantins;   91241;0
2011-03-01;acre;   53909;0
2011-03-01;alagoas;  176772;0
2011-03-01;amapa;   34828;0
2011-03-01;amazonas;  457396;0
2011-03-01;bahia;  999252;0
2011-03-01;ceara;  507648;0
2011-03-01;df;  391791;0
2011-03-01;es;  642345;0
2011-03-01;goias;  791519;0
2011-03-01;maranhao;  255084;0
2011-03-01;mt;  451669;0
2011-03-01;ms;  422255;0
2011-03-01;mg; 2233889;0
2011-03-01;para;  421472;0
2011-03-01;pb;  221736;0
2011-03-01;parana; 1162393;0
2011-03-01;pe;  739348;0
2011-03-01;piaui;  148230;0
2011-03-01;rj; 2018745;0
2011-03-01;rn;  238150;0
2011-03-01;rs; 1455132;0
2011-03-01;rondonia;  180561;0
2011-03-01;rr;   33261;0
